H,delta_mult,session,EV_net,n_signals,hit_rate,hit_rate_ci_lo,hit_rate_ci_hi,evcurve_q,evcurve_quality_thr,evcurve_n,evcurve_EV_net,out_dir
8,0.75,NewYork,,0,,0.0,0.0,,,,,reports\patterns_grid_20251026_asia_box\H8_dm0.75_NewYork
12,0.4,NewYork,,0,,0.0,0.0,,,,,reports\patterns_grid_20251026_asia_box\H12_dm0.4_NewYork
12,0.45,NewYork,,0,,0.0,0.0,,,,,reports\patterns_grid_20251026_asia_box\H12_dm0.45_NewYork
12,0.5,NewYork,,0,,0.0,0.0,,,,,reports\patterns_grid_20251026_asia_box\H12_dm0.5_NewYork
12,0.55,NewYork,,0,,0.0,0.0,,,,,reports\patterns_grid_20251026_asia_box\H12_dm0.55_NewYork
12,0.6,NewYork,,0,,0.0,0.0,,,,,reports\patterns_grid_20251026_asia_box\H12_dm0.6_NewYork
12,0.65,NewYork,,0,,0.0,0.0,,,,,reports\patterns_grid_20251026_asia_box\H12_dm0.65_NewYork
12,0.7,NewYork,,0,,0.0,0.0,,,,,reports\patterns_grid_20251026_asia_box\H12_dm0.7_NewYork
12,0.75,NewYork,,0,,0.0,0.0,,,,,reports\patterns_grid_20251026_asia_box\H12_dm0.75_NewYork
16,0.4,NewYork,,0,,0.0,0.0,,,,,reports\patterns_grid_20251026_asia_box\H16_dm0.4_NewYork
16,0.45,NewYork,,0,,0.0,0.0,,,,,reports\patterns_grid_20251026_asia_box\H16_dm0.45_NewYork
16,0.5,NewYork,,0,,0.0,0.0,,,,,reports\patterns_grid_20251026_asia_box\H16_dm0.5_NewYork
16,0.55,NewYork,,0,,0.0,0.0,,,,,reports\patterns_grid_20251026_asia_box\H16_dm0.55_NewYork
16,0.6,NewYork,,0,,0.0,0.0,,,,,reports\patterns_grid_20251026_asia_box\H16_dm0.6_NewYork
16,0.65,NewYork,,0,,0.0,0.0,,,,,reports\patterns_grid_20251026_asia_box\H16_dm0.65_NewYork
16,0.7,NewYork,,0,,0.0,0.0,,,,,reports\patterns_grid_20251026_asia_box\H16_dm0.7_NewYork
16,0.75,NewYork,,0,,0.0,0.0,,,,,reports\patterns_grid_20251026_asia_box\H16_dm0.75_NewYork
20,0.4,NewYork,,0,,0.0,0.0,,,,,reports\patterns_grid_20251026_asia_box\H20_dm0.4_NewYork
20,0.45,NewYork,,0,,0.0,0.0,,,,,reports\patterns_grid_20251026_asia_box\H20_dm0.45_NewYork
20,0.5,NewYork,,0,,0.0,0.0,,,,,reports\patterns_grid_20251026_asia_box\H20_dm0.5_NewYork
20,0.55,NewYork,,0,,0.0,0.0,,,,,reports\patterns_grid_20251026_asia_box\H20_dm0.55_NewYork
20,0.6,NewYork,,0,,0.0,0.0,,,,,reports\patterns_grid_20251026_asia_box\H20_dm0.6_NewYork
20,0.65,NewYork,,0,,0.0,0.0,,,,,reports\patterns_grid_20251026_asia_box\H20_dm0.65_NewYork
20,0.7,NewYork,,0,,0.0,0.0,,,,,reports\patterns_grid_20251026_asia_box\H20_dm0.7_NewYork
20,0.75,NewYork,,0,,0.0,0.0,,,,,reports\patterns_grid_20251026_asia_box\H20_dm0.75_NewYork
