ts,event,corr,source,symbol,interval,period,latency_ms,error
2025-09-30 00:03:59.561872+00:00,price_fetch_start,corr-1759188073529,,JPY=X,15m,60d,,
2025-09-30 00:04:00.077106+00:00,price_fetch_success,corr-1759188073529,yfinance_history,JPY=X,15m,60d,506,
2025-09-30 00:04:07.511110+00:00,pattern_draw,,,,,,,,pennant,2025-09-29 23:15:00+09:00,2025-09-30 09:00:00+09:00,40,77.09241712110699
2025-09-30 00:04:07.553128+00:00,pattern_vrect,,,,,,,,pennant,2025-09-29 23:15:00+09:00,2025-09-30 09:00:00+09:00
2025-09-30 00:04:07.562023+00:00,pattern_auto_zoom,,,,,,,,pennant,2025-09-29 23:15:00+09:00,2025-09-30 09:00:00+09:00,0 days 02:55:30
2025-09-30 00:13:59.510684+00:00,price_fetch_start,corr-1759188073529,,JPY=X,15m,60d,,
2025-09-30 00:13:59.988335+00:00,price_fetch_success,corr-1759188073529,yfinance_history,JPY=X,15m,60d,467,
2025-09-30 00:14:07.225486+00:00,pattern_draw,,,,,,,,flag_up,2025-09-29 23:15:00+09:00,2025-09-30 09:00:00+09:00,40,76.98078744311157
2025-09-30 00:14:07.262473+00:00,pattern_vrect,,,,,,,,flag_up,2025-09-29 23:15:00+09:00,2025-09-30 09:00:00+09:00
2025-09-30 00:14:07.267402+00:00,pattern_auto_zoom,,,,,,,,flag_up,2025-09-29 23:15:00+09:00,2025-09-30 09:00:00+09:00,0 days 02:55:30
2025-09-30 00:14:49.737976+00:00,price_fetch_start,corr-1759188073529,,JPY=X,15m,60d,,
2025-09-30 00:14:57.072974+00:00,pattern_draw,,,,,,,,flag_up,2025-09-29 23:15:00+09:00,2025-09-30 09:00:00+09:00,40,76.98078744311157
2025-09-30 00:14:57.106972+00:00,pattern_vrect,,,,,,,,flag_up,2025-09-29 23:15:00+09:00,2025-09-30 09:00:00+09:00
2025-09-30 00:14:57.120973+00:00,pattern_auto_zoom,,,,,,,,flag_up,2025-09-29 23:15:00+09:00,2025-09-30 09:00:00+09:00,0 days 02:55:30
2025-09-30 00:15:13.391617+00:00,price_fetch_start,corr-1759188073529,,JPY=X,15m,60d,,
2025-09-30 00:15:13.885239+00:00,price_fetch_success,corr-1759188073529,yfinance_history,JPY=X,15m,60d,487,
2025-09-30 00:23:37.858971+00:00,price_fetch_start,corr-1759188073529,,JPY=X,15m,60d,,
