ts,event,corr,source,symbol,interval,period,latency_ms,error
2025-09-29 01:22:46.638866+00:00,pattern_vrect,,,,,,,,head_shoulders,2025-09-26 00:30:00+09:00,2025-09-26 06:00:00+09:00
2025-09-29 01:32:39.170485+00:00,price_fetch_start,corr-1759103877803,,JPY=X,15m,60d,,
2025-09-29 01:32:39.726263+00:00,price_fetch_success,corr-1759103877803,yfinance_history,JPY=X,15m,60d,551,
2025-09-29 01:32:50.300900+00:00,pattern_vrect,,,,,,,,head_shoulders,2025-09-26 00:30:00+09:00,2025-09-26 06:00:00+09:00
2025-09-29 01:42:30.872380+00:00,price_fetch_start,corr-1759103877803,,JPY=X,15m,60d,,
2025-09-29 01:42:31.921970+00:00,price_fetch_start,corr-1759103877803,,JPY=X,15m,60d,,
2025-09-29 01:42:32.405970+00:00,price_fetch_success,corr-1759103877803,yfinance_history,JPY=X,15m,60d,474,
2025-09-29 01:42:39.323417+00:00,price_fetch_start,corr-1759103877803,,JPY=X,15m,60d,,
2025-09-29 01:42:50.806605+00:00,pattern_vrect,,,,,,,,head_shoulders,2025-09-26 00:30:00+09:00,2025-09-26 06:00:00+09:00
2025-09-29 01:45:38.148027+00:00,price_fetch_start,corr-1759103877803,,JPY=X,15m,60d,,
2025-09-29 01:45:39.250047+00:00,price_fetch_start,corr-1759103877803,,JPY=X,15m,60d,,
2025-09-29 01:45:39.719349+00:00,price_fetch_success,corr-1759103877803,yfinance_history,JPY=X,15m,60d,464,
2025-09-29 01:45:41.079464+00:00,price_fetch_start,corr-1759103877803,,JPY=X,15m,60d,,
2025-09-29 01:45:53.633540+00:00,pattern_vrect,,,,,,,,head_shoulders,2025-09-26 00:30:00+09:00,2025-09-26 06:00:00+09:00
2025-09-29 01:50:27.450246+00:00,price_fetch_start,corr-1759103877803,,JPY=X,15m,60d,,
2025-09-29 01:50:28.358658+00:00,price_fetch_start,corr-1759103877803,,JPY=X,15m,60d,,
2025-09-29 01:50:28.839737+00:00,price_fetch_success,corr-1759103877803,yfinance_history,JPY=X,15m,60d,477,
2025-09-29 01:50:36.585348+00:00,pattern_vrect,,,,,,,,head_shoulders,2025-09-26 00:30:00+09:00,2025-09-26 06:00:00+09:00
2025-09-29 01:55:11.582521+00:00,price_fetch_start,corr-1759103877803,,JPY=X,15m,60d,,
2025-09-29 01:55:12.635569+00:00,price_fetch_start,corr-1759103877803,,JPY=X,15m,60d,,
2025-09-29 01:55:13.184070+00:00,price_fetch_success,corr-1759103877803,yfinance_history,JPY=X,15m,60d,543,
2025-09-29 01:55:23.283336+00:00,pattern_vrect,,,,,,,,head_shoulders,2025-09-26 00:30:00+09:00,2025-09-26 06:00:00+09:00
2025-09-29 02:00:49.641504+00:00,price_fetch_start,corr-1759103877803,,JPY=X,15m,60d,,
2025-09-29 02:00:50.519772+00:00,price_fetch_start,corr-1759103877803,,JPY=X,15m,60d,,
2025-09-29 02:00:50.978279+00:00,price_fetch_success,corr-1759103877803,yfinance_history,JPY=X,15m,60d,449,
2025-09-29 02:00:59.915913+00:00,pattern_vrect,,,,,,,,head_shoulders,2025-09-26 00:30:00+09:00,2025-09-26 06:00:00+09:00
2025-09-29 02:16:24.128119+00:00,price_fetch_start,corr-1759103877803,,JPY=X,15m,60d,,
2025-09-29 02:16:24.597338+00:00,price_fetch_success,corr-1759103877803,yfinance_history,JPY=X,15m,60d,445,
2025-09-29 02:16:25.358336+00:00,price_fetch_start,corr-1759103877803,,JPY=X,15m,60d,,
2025-09-29 02:16:32.609706+00:00,pattern_draw,,,,,,,,flag_dn,2025-09-26 23:30:00+09:00,2025-09-29 11:15:00+09:00,40,72.96833938343194
2025-09-29 02:16:32.628721+00:00,pattern_vrect,,,,,,,,flag_dn,2025-09-26 23:30:00+09:00,2025-09-29 11:15:00+09:00
2025-09-29 02:26:37.875137+00:00,price_fetch_start,corr-1759103877803,,JPY=X,15m,60d,,
2025-09-29 02:26:38.896524+00:00,price_fetch_start,corr-1759103877803,,JPY=X,15m,60d,,
2025-09-29 02:26:39.373540+00:00,price_fetch_success,corr-1759103877803,yfinance_history,JPY=X,15m,60d,472,
2025-09-29 02:26:47.654120+00:00,pattern_draw,,,,,,,,flag_dn,2025-09-26 23:30:00+09:00,2025-09-29 11:15:00+09:00,40,72.57371817479667
2025-09-29 02:26:47.740110+00:00,pattern_vrect,,,,,,,,flag_dn,2025-09-26 23:30:00+09:00,2025-09-29 11:15:00+09:00
2025-09-29 02:36:05.278089+00:00,price_fetch_start,corr-1759103877803,,JPY=X,15m,60d,,
2025-09-29 02:36:06.264547+00:00,price_fetch_start,corr-1759103877803,,JPY=X,15m,60d,,
2025-09-29 02:36:06.777934+00:00,price_fetch_success,corr-1759103877803,yfinance_history,JPY=X,15m,60d,508,
2025-09-29 02:36:15.193870+00:00,pattern_draw,,,,,,,,flag_dn,2025-09-26 23:45:00+09:00,2025-09-29 11:30:00+09:00,40,76.63524668293527
2025-09-29 02:36:15.226979+00:00,pattern_vrect,,,,,,,,flag_dn,2025-09-26 23:45:00+09:00,2025-09-29 11:30:00+09:00
2025-09-29 07:14:40.954576+00:00,price_fetch_start,corr-1759130080954,,JPY=X,15m,60d,,
2025-09-29 07:14:41.379809+00:00,price_fetch_success,corr-1759130080954,yfinance_history,JPY=X,15m,60d,411,
2025-09-29 07:14:44.673938+00:00,pattern_draw,,,,,,,,flag_dn,2025-09-27 04:15:00+09:00,2025-09-29 16:00:00+09:00,40,76.65473024501766
2025-09-29 07:14:44.685912+00:00,pattern_vrect,,,,,,,,flag_dn,2025-09-27 04:15:00+09:00,2025-09-29 16:00:00+09:00
2025-09-29 07:14:56.133445+00:00,price_fetch_start,corr-1759130080954,,JPY=X,15m,60d,,
2025-09-29 07:14:59.305121+00:00,pattern_draw,,,,,,,,flag_dn,2025-09-27 04:15:00+09:00,2025-09-29 16:00:00+09:00,40,76.65473024501766
2025-09-29 07:14:59.317098+00:00,pattern_vrect,,,,,,,,flag_dn,2025-09-27 04:15:00+09:00,2025-09-29 16:00:00+09:00
2025-09-29 07:15:52.808407+00:00,price_fetch_start,corr-1759130080954,,JPY=X,15m,60d,,
2025-09-29 07:15:53.163897+00:00,price_fetch_success,corr-1759130080954,yfinance_history,JPY=X,15m,60d,350,
2025-09-29 07:16:06.603385+00:00,pattern_draw,,,,,,,,flag_dn,2025-09-27 04:30:00+09:00,2025-09-29 16:15:00+09:00,40,72.68172271532849
2025-09-29 07:16:06.631386+00:00,pattern_vrect,,,,,,,,flag_dn,2025-09-27 04:30:00+09:00,2025-09-29 16:15:00+09:00
2025-09-29 07:20:36.420967+00:00,price_fetch_start,corr-1759130080954,,JPY=X,15m,60d,,
2025-09-29 07:20:37.316228+00:00,price_fetch_start,corr-1759130080954,,JPY=X,15m,60d,,
2025-09-29 07:20:37.883025+00:00,price_fetch_success,corr-1759130080954,yfinance_history,JPY=X,15m,60d,561,
2025-09-29 07:20:49.712336+00:00,pattern_draw,,,,,,,,flag_dn,2025-09-27 04:30:00+09:00,2025-09-29 16:15:00+09:00,40,72.51051761329451
2025-09-29 07:20:49.741344+00:00,pattern_vrect,,,,,,,,flag_dn,2025-09-27 04:30:00+09:00,2025-09-29 16:15:00+09:00
2025-09-29 11:57:10.901724+00:00,price_fetch_start,corr-1759147030901,,JPY=X,15m,60d,,
2025-09-29 11:57:11.716254+00:00,price_fetch_start,corr-1759147030901,,JPY=X,15m,60d,,
2025-09-29 11:57:12.086634+00:00,price_fetch_success,corr-1759147030901,yfinance_history,JPY=X,15m,60d,365,
2025-09-29 11:57:16.337675+00:00,pattern_draw,,,,,,,,flag_dn,2025-09-29 11:00:00+09:00,2025-09-29 20:45:00+09:00,40,82.85735946759365
2025-09-29 11:57:16.351892+00:00,pattern_vrect,,,,,,,,flag_dn,2025-09-29 11:00:00+09:00,2025-09-29 20:45:00+09:00
2025-09-29 11:58:28.951552+00:00,price_fetch_start,corr-1759147030901,,JPY=X,15m,60d,,
2025-09-29 11:58:29.345552+00:00,price_fetch_success,corr-1759147030901,yfinance_history,JPY=X,15m,60d,391,
2025-09-29 11:58:29.709552+00:00,price_fetch_start,corr-1759147030901,,JPY=X,15m,60d,,
2025-09-29 11:58:36.738611+00:00,pattern_draw,,,,,,,,flag_dn,2025-09-29 11:00:00+09:00,2025-09-29 20:45:00+09:00,40,82.35270978873777
2025-09-29 11:58:36.763580+00:00,pattern_vrect,,,,,,,,flag_dn,2025-09-29 11:00:00+09:00,2025-09-29 20:45:00+09:00
2025-09-29 11:58:47.572395+00:00,price_fetch_start,corr-1759147030901,,JPY=X,15m,60d,,
2025-09-29 11:58:54.308131+00:00,price_fetch_start,corr-1759147030901,,JPY=X,15m,60d,,
2025-09-29 11:59:09.670503+00:00,pattern_draw,,,,,,,,flag_dn,2025-09-29 11:00:00+09:00,2025-09-29 20:45:00+09:00,40,82.35270978873777
2025-09-29 11:59:09.704488+00:00,pattern_vrect,,,,,,,,flag_dn,2025-09-29 11:00:00+09:00,2025-09-29 20:45:00+09:00
2025-09-29 12:02:45.325826+00:00,price_fetch_start,corr-1759147030901,,JPY=X,15m,60d,,
2025-09-29 12:02:45.858472+00:00,price_fetch_success,corr-1759147030901,yfinance_history,JPY=X,15m,60d,523,
2025-09-29 12:02:54.633997+00:00,pattern_draw,,,,,,,,flag_dn,2025-09-29 11:15:00+09:00,2025-09-29 21:00:00+09:00,40,85.28214117558758
2025-09-29 12:02:54.639996+00:00,pattern_vrect,,,,,,,,flag_dn,2025-09-29 11:15:00+09:00,2025-09-29 21:00:00+09:00
2025-09-29 12:03:14.198178+00:00,price_fetch_start,corr-1759147030901,,JPY=X,15m,60d,,
2025-09-29 12:03:15.433768+00:00,pattern_draw,,,,,,,,flag_dn,2025-09-29 11:15:00+09:00,2025-09-29 21:00:00+09:00,40,85.28214117558758
2025-09-29 12:03:15.441768+00:00,pattern_vrect,,,,,,,,flag_dn,2025-09-29 11:15:00+09:00,2025-09-29 21:00:00+09:00
2025-09-29 12:03:23.973515+00:00,price_fetch_start,corr-1759147030901,,JPY=X,15m,60d,,
