ts,event,corr,source,symbol,interval,period,latency_ms,error
2025-09-23 00:01:07.866499+00:00,price_fetch_start,corr-1758585482620,,JPY=X,15m,60d,,
2025-09-23 00:01:08.360976+00:00,price_fetch_success,corr-1758585482620,yfinance_history,JPY=X,15m,60d,491,
2025-09-23 00:16:07.229309+00:00,price_fetch_start,corr-1758585482620,,JPY=X,15m,60d,,
2025-09-23 00:16:08.504063+00:00,price_fetch_start,corr-1758585482620,,JPY=X,15m,60d,,
2025-09-23 00:16:08.737177+00:00,price_fetch_success,corr-1758585482620,yfinance_history,JPY=X,15m,60d,228,
2025-09-23 00:35:51.445184+00:00,price_fetch_start,corr-1758585482620,,JPY=X,15m,60d,,
2025-09-23 00:35:52.256930+00:00,price_fetch_start,corr-1758585482620,,JPY=X,15m,60d,,
2025-09-23 00:35:52.749724+00:00,price_fetch_success,corr-1758585482620,yfinance_history,JPY=X,15m,60d,254,
2025-09-23 00:41:22.066481+00:00,price_fetch_start,corr-1758585482620,,JPY=X,15m,60d,,
2025-09-23 00:41:22.559077+00:00,price_fetch_success,corr-1758585482620,yfinance_history,JPY=X,15m,60d,487,
2025-09-23 00:41:28.425436+00:00,price_fetch_start,corr-1758585482620,,JPY=X,15m,60d,,
2025-09-23 00:41:31.619807+00:00,price_fetch_start,corr-1758585482620,,JPY=X,15m,60d,,
2025-09-23 00:57:58.962735+00:00,price_fetch_start,corr-1758585482620,,JPY=X,15m,60d,,
2025-09-23 00:57:59.766663+00:00,price_fetch_start,corr-1758585482620,,JPY=X,15m,60d,,
2025-09-23 00:58:00.192632+00:00,price_fetch_success,corr-1758585482620,yfinance_history,JPY=X,15m,60d,417,
2025-09-23 01:01:46.321586+00:00,price_fetch_start,corr-1758585482620,,JPY=X,15m,60d,,
2025-09-23 01:01:47.137079+00:00,price_fetch_start,corr-1758585482620,,JPY=X,15m,60d,,
2025-09-23 01:01:47.658324+00:00,price_fetch_success,corr-1758585482620,yfinance_history,JPY=X,15m,60d,515,
2025-09-23 01:06:42.198412+00:00,price_fetch_start,corr-1758585482620,,JPY=X,15m,60d,,
2025-09-23 01:06:43.145123+00:00,price_fetch_start,corr-1758585482620,,JPY=X,15m,60d,,
2025-09-23 01:06:43.414822+00:00,price_fetch_success,corr-1758585482620,yfinance_history,JPY=X,15m,60d,265,
2025-09-23 01:18:02.661352+00:00,price_fetch_start,corr-1758585482620,,JPY=X,15m,60d,,
2025-09-23 01:18:03.634550+00:00,price_fetch_start,corr-1758585482620,,JPY=X,15m,60d,,
2025-09-23 01:18:03.853543+00:00,price_fetch_success,corr-1758585482620,yfinance_history,JPY=X,15m,60d,203,
2025-09-23 02:18:52.093771+00:00,price_fetch_start,corr-1758585482620,,JPY=X,15m,60d,,
2025-09-23 02:18:53.072199+00:00,price_fetch_start,corr-1758585482620,,JPY=X,15m,60d,,
2025-09-23 02:18:53.516385+00:00,price_fetch_success,corr-1758585482620,yfinance_history,JPY=X,15m,60d,439,
2025-09-23 03:29:27.259558+00:00,price_fetch_start,corr-1758585482620,,JPY=X,15m,60d,,
2025-09-23 03:29:27.689120+00:00,price_fetch_start,corr-1758585482620,,JPY=X,15m,60d,,
2025-09-23 03:29:28.585351+00:00,price_fetch_success,corr-1758585482620,yfinance_history,JPY=X,15m,60d,510,
2025-09-23 03:38:42.196559+00:00,price_fetch_start,corr-1758585482620,,JPY=X,15m,60d,,
2025-09-23 03:38:43.092559+00:00,price_fetch_start,corr-1758585482620,,JPY=X,15m,60d,,
2025-09-23 03:38:43.542409+00:00,price_fetch_success,corr-1758585482620,yfinance_history,JPY=X,15m,60d,443,
2025-09-23 03:57:37.232456+00:00,price_fetch_start,corr-1758599857232,,JPY=X,15m,60d,,
2025-09-23 03:57:37.654451+00:00,price_fetch_success,corr-1758599857232,yfinance_history,JPY=X,15m,60d,418,
2025-09-23 03:57:45.472017+00:00,price_fetch_start,corr-1758599857232,,JPY=X,15m,60d,,
2025-09-23 04:01:47.165798+00:00,price_fetch_start,corr-1758600107165,,JPY=X,15m,60d,,
2025-09-23 04:01:47.602508+00:00,price_fetch_success,corr-1758600107165,yfinance_history,JPY=X,15m,60d,430,
2025-09-23 04:02:24.023149+00:00,pattern_detected,,flag_pennant,,,,,,flag,bull,3099,3106,3106,0.701575566049218
2025-09-23 04:02:27.428195+00:00,price_fetch_start,corr-1758600107165,,JPY=X,15m,60d,,
2025-09-23 04:02:28.558781+00:00,pattern_detected,,flag_pennant,,,,,,flag,bull,3099,3106,3106,0.701575566049218
2025-09-23 04:03:16.557549+00:00,price_fetch_start,corr-1758600107165,,JPY=X,15m,60d,,
2025-09-23 04:03:16.947305+00:00,price_fetch_success,corr-1758600107165,yfinance_history,JPY=X,15m,60d,387,
2025-09-23 04:03:18.218997+00:00,pattern_detected,,flag_pennant,,,,,,flag,bull,3099,3106,3106,0.701575566049218
2025-09-23 04:05:32.623751+00:00,price_fetch_start,corr-1758600107165,,JPY=X,15m,60d,,
2025-09-23 04:05:33.025280+00:00,price_fetch_success,corr-1758600107165,yfinance_history,JPY=X,15m,60d,398,
2025-09-23 04:05:33.286270+00:00,price_fetch_start,corr-1758600107165,,JPY=X,15m,60d,,
2025-09-23 04:05:35.017778+00:00,pattern_detected,,flag_pennant,,,,,,flag,bull,3099,3106,3106,0.701575566049218
2025-09-23 04:05:43.116800+00:00,price_fetch_start,corr-1758600107165,,JPY=X,15m,60d,,
2025-09-23 04:05:44.298475+00:00,pattern_detected,,flag_pennant,,,,,,flag,bull,3099,3106,3106,0.701575566049218
2025-09-23 04:07:52.775276+00:00,price_fetch_start,corr-1758600472775,,JPY=X,15m,60d,,
2025-09-23 04:07:53.131633+00:00,price_fetch_success,corr-1758600472775,yfinance_history,JPY=X,15m,60d,350,
2025-09-23 04:07:58.995775+00:00,price_fetch_start,corr-1758600472775,,JPY=X,15m,60d,,
2025-09-23 04:08:07.386035+00:00,pattern_detected,,flag_pennant,,,,,,flag,bull,3099,3106,3106,0.701575566049218
