ts,event,corr,source,symbol,interval,period,latency_ms,error
2025-10-17 01:12:12.910094+00:00,price_fetch_start,corr-1760663532910,,JPY=X,15m,60d,,
2025-10-17 01:12:13.444533+00:00,price_fetch_success,corr-1760663532910,yfinance_history,JPY=X,15m,60d,514,
2025-10-17 01:12:13.896952+00:00,price_fetch_success,corr-1760663532910,yfinance_download,JPY=X,15m,60d,448,
2025-10-17 01:15:20.470266+00:00,price_fetch_start,corr-1760663532910,,JPY=X,15m,60d,,
2025-10-17 01:15:20.918389+00:00,price_fetch_success,corr-1760663532910,yfinance_history,JPY=X,15m,60d,438,
2025-10-17 01:15:21.333404+00:00,price_fetch_success,corr-1760663532910,yfinance_download,JPY=X,15m,60d,411,
2025-10-17 01:18:26.510126+00:00,price_fetch_start,corr-1760663532910,,JPY=X,15m,60d,,
2025-10-17 01:18:26.907113+00:00,price_fetch_success,corr-1760663532910,yfinance_history,JPY=X,15m,60d,389,
2025-10-17 01:18:27.327097+00:00,price_fetch_success,corr-1760663532910,yfinance_download,JPY=X,15m,60d,416,
2025-10-17 01:21:32.688075+00:00,price_fetch_start,corr-1760663532910,,JPY=X,15m,60d,,
2025-10-17 01:21:33.316522+00:00,price_fetch_success,corr-1760663532910,yfinance_history,JPY=X,15m,60d,623,
2025-10-17 01:21:33.760772+00:00,price_fetch_success,corr-1760663532910,yfinance_download,JPY=X,15m,60d,437,
2025-10-17 01:24:38.624258+00:00,price_fetch_start,corr-1760663532910,,JPY=X,15m,60d,,
2025-10-17 01:24:39.137241+00:00,price_fetch_success,corr-1760663532910,yfinance_history,JPY=X,15m,60d,505,
2025-10-17 01:24:39.684314+00:00,price_fetch_success,corr-1760663532910,yfinance_download,JPY=X,15m,60d,545,
2025-10-17 01:27:44.471247+00:00,price_fetch_start,corr-1760663532910,,JPY=X,15m,60d,,
2025-10-17 01:27:44.922246+00:00,price_fetch_success,corr-1760663532910,yfinance_history,JPY=X,15m,60d,444,
2025-10-17 01:27:45.442604+00:00,price_fetch_success,corr-1760663532910,yfinance_download,JPY=X,15m,60d,516,
2025-10-17 01:30:50.447862+00:00,price_fetch_start,corr-1760663532910,,JPY=X,15m,60d,,
2025-10-17 01:30:50.923868+00:00,price_fetch_success,corr-1760663532910,yfinance_history,JPY=X,15m,60d,472,
2025-10-17 01:30:51.411762+00:00,price_fetch_success,corr-1760663532910,yfinance_download,JPY=X,15m,60d,484,
2025-10-17 01:30:57.611829+00:00,pattern_draw,,,,,,,,flag_dn,2025-10-17 00:15:00+09:00,2025-10-17 10:30:00+09:00,40,76.50196045382486
2025-10-17 01:30:57.628815+00:00,pattern_vrect,,,,,,,,flag_dn,2025-10-17 00:15:00+09:00,2025-10-17 10:30:00+09:00
2025-10-17 01:33:56.524376+00:00,price_fetch_start,corr-1760663532910,,JPY=X,15m,60d,,
2025-10-17 01:33:56.903377+00:00,price_fetch_success,corr-1760663532910,yfinance_history,JPY=X,15m,60d,375,
2025-10-17 01:33:57.344581+00:00,price_fetch_success,corr-1760663532910,yfinance_download,JPY=X,15m,60d,439,
2025-10-17 01:34:04.237200+00:00,pattern_draw,,,,,,,,flag_dn,2025-10-17 00:15:00+09:00,2025-10-17 10:30:00+09:00,40,76.03919350261333
2025-10-17 01:34:04.260200+00:00,pattern_vrect,,,,,,,,flag_dn,2025-10-17 00:15:00+09:00,2025-10-17 10:30:00+09:00
2025-10-17 01:37:02.416620+00:00,price_fetch_start,corr-1760663532910,,JPY=X,15m,60d,,
2025-10-17 01:37:02.777623+00:00,price_fetch_success,corr-1760663532910,yfinance_history,JPY=X,15m,60d,358,
2025-10-17 01:37:03.242939+00:00,price_fetch_success,corr-1760663532910,yfinance_download,JPY=X,15m,60d,462,
2025-10-17 01:37:08.677039+00:00,pattern_draw,,,,,,,,flag_dn,2025-10-17 00:15:00+09:00,2025-10-17 10:30:00+09:00,40,76.04990004858284
2025-10-17 01:37:08.690038+00:00,pattern_vrect,,,,,,,,flag_dn,2025-10-17 00:15:00+09:00,2025-10-17 10:30:00+09:00
2025-10-17 01:40:08.454578+00:00,price_fetch_start,corr-1760663532910,,JPY=X,15m,60d,,
