ts,event,corr,source,symbol,interval,period,latency_ms,error
2025-09-26 06:04:18.332900+00:00,price_fetch_start,corr-1758866658332,,JPY=X,15m,60d,,
2025-09-26 06:04:19.348385+00:00,price_fetch_start,corr-1758866658332,,JPY=X,15m,60d,,
2025-09-26 06:04:19.655678+00:00,price_fetch_success,corr-1758866658332,yfinance_history,JPY=X,15m,60d,304,
2025-09-26 06:04:23.015609+00:00,pattern_draw,,,,,,,,flag_dn,2025-09-26 05:15:00+09:00,2025-09-26 15:00:00+09:00,40,86.17871204814534
2025-09-26 06:04:23.030714+00:00,pattern_vrect,,,,,,,,flag_dn,2025-09-26 05:15:00+09:00,2025-09-26 15:00:00+09:00
2025-09-26 06:11:41.643773+00:00,price_fetch_start,corr-1758866658332,,JPY=X,15m,60d,,
2025-09-26 06:11:42.312837+00:00,price_fetch_start,corr-1758866658332,,JPY=X,15m,60d,,
2025-09-26 06:11:43.014146+00:00,price_fetch_success,corr-1758866658332,yfinance_history,JPY=X,15m,60d,693,
2025-09-26 06:11:50.675821+00:00,pattern_draw,,,,,,,,flag_dn,2025-09-26 05:15:00+09:00,2025-09-26 15:00:00+09:00,40,86.18420010613711
2025-09-26 06:11:50.707931+00:00,pattern_vrect,,,,,,,,flag_dn,2025-09-26 05:15:00+09:00,2025-09-26 15:00:00+09:00
2025-09-26 06:11:54.478618+00:00,price_fetch_start,corr-1758866658332,,JPY=X,15m,60d,,
2025-09-26 06:11:58.717329+00:00,price_fetch_start,corr-1758866658332,,JPY=X,15m,60d,,
2025-09-26 06:12:07.178197+00:00,pattern_draw,,,,,,,,flag_dn,2025-09-26 05:15:00+09:00,2025-09-26 15:00:00+09:00,40,86.18420010613711
2025-09-26 06:12:07.202202+00:00,pattern_vrect,,,,,,,,flag_dn,2025-09-26 05:15:00+09:00,2025-09-26 15:00:00+09:00
2025-09-26 06:17:53.917326+00:00,price_fetch_start,corr-1758866658332,,JPY=X,15m,60d,,
2025-09-26 06:17:54.787737+00:00,price_fetch_start,corr-1758866658332,,JPY=X,15m,60d,,
2025-09-26 06:17:55.178308+00:00,price_fetch_success,corr-1758866658332,yfinance_history,JPY=X,15m,60d,385,
2025-09-26 06:18:02.972892+00:00,pattern_draw,,,,,,,,flag_dn,2025-09-26 05:30:00+09:00,2025-09-26 15:15:00+09:00,40,86.10511478260263
2025-09-26 06:18:03.010893+00:00,pattern_vrect,,,,,,,,flag_dn,2025-09-26 05:30:00+09:00,2025-09-26 15:15:00+09:00
2025-09-26 06:22:50.025074+00:00,price_fetch_start,corr-1758866658332,,JPY=X,15m,60d,,
2025-09-26 06:22:50.876352+00:00,price_fetch_start,corr-1758866658332,,JPY=X,15m,60d,,
2025-09-26 06:22:51.403767+00:00,price_fetch_success,corr-1758866658332,yfinance_history,JPY=X,15m,60d,521,
2025-09-26 06:22:59.602765+00:00,pattern_draw,,,,,,,,flag_dn,2025-09-26 05:30:00+09:00,2025-09-26 15:15:00+09:00,40,86.15042624760348
2025-09-26 06:22:59.631658+00:00,pattern_vrect,,,,,,,,flag_dn,2025-09-26 05:30:00+09:00,2025-09-26 15:15:00+09:00
2025-09-26 06:32:11.904408+00:00,price_fetch_start,corr-1758866658332,,JPY=X,15m,60d,,
2025-09-26 06:32:12.844183+00:00,price_fetch_start,corr-1758866658332,,JPY=X,15m,60d,,
2025-09-26 06:32:13.073975+00:00,price_fetch_success,corr-1758866658332,yfinance_history,JPY=X,15m,60d,224,
2025-09-26 06:32:19.948984+00:00,pattern_draw,,,,,,,,flag_dn,2025-09-26 05:45:00+09:00,2025-09-26 15:30:00+09:00,40,86.09124841560089
2025-09-26 06:32:19.967083+00:00,pattern_vrect,,,,,,,,flag_dn,2025-09-26 05:45:00+09:00,2025-09-26 15:30:00+09:00
2025-09-26 06:40:58.695319+00:00,price_fetch_start,corr-1758866658332,,JPY=X,15m,60d,,
2025-09-26 06:40:59.688432+00:00,price_fetch_start,corr-1758866658332,,JPY=X,15m,60d,,
2025-09-26 06:41:00.138456+00:00,price_fetch_success,corr-1758866658332,yfinance_history,JPY=X,15m,60d,445,
2025-09-26 06:41:08.736148+00:00,pattern_draw,,,,,,,,flag_dn,2025-09-26 05:45:00+09:00,2025-09-26 15:30:00+09:00,40,86.12107342034639
2025-09-26 06:41:08.764155+00:00,pattern_vrect,,,,,,,,flag_dn,2025-09-26 05:45:00+09:00,2025-09-26 15:30:00+09:00
2025-09-26 06:46:43.608775+00:00,price_fetch_start,corr-1758866658332,,JPY=X,15m,60d,,
2025-09-26 06:46:43.961534+00:00,price_fetch_success,corr-1758866658332,yfinance_history,JPY=X,15m,60d,334,
2025-09-26 06:46:46.838078+00:00,price_fetch_start,corr-1758866658332,,JPY=X,15m,60d,,
2025-09-26 06:46:59.560075+00:00,price_fetch_start,corr-1758866658332,,JPY=X,15m,60d,,
2025-09-26 06:47:06.595362+00:00,pattern_draw,,,,,,,,flag_dn,2025-09-26 06:00:00+09:00,2025-09-26 15:45:00+09:00,40,86.05536955836236
2025-09-26 06:47:06.638369+00:00,pattern_vrect,,,,,,,,flag_dn,2025-09-26 06:00:00+09:00,2025-09-26 15:45:00+09:00
2025-09-26 06:49:11.292764+00:00,price_fetch_start,corr-1758869351292,,JPY=X,15m,60d,,
2025-09-26 06:49:11.759631+00:00,price_fetch_success,corr-1758869351292,yfinance_history,JPY=X,15m,60d,460,
2025-09-26 06:49:22.082763+00:00,pattern_draw,,,,,,,,flag_dn,2025-09-26 06:00:00+09:00,2025-09-26 15:45:00+09:00,40,86.08671318877191
2025-09-26 06:49:22.178981+00:00,pattern_vrect,,,,,,,,flag_dn,2025-09-26 06:00:00+09:00,2025-09-26 15:45:00+09:00
2025-09-26 06:49:35.810853+00:00,price_fetch_start,corr-1758869351292,,JPY=X,15m,60d,,
2025-09-26 06:49:44.002689+00:00,pattern_draw,,,,,,,,flag_dn,2025-09-26 06:00:00+09:00,2025-09-26 15:45:00+09:00,40,86.08671318877191
2025-09-26 06:49:44.026717+00:00,pattern_vrect,,,,,,,,flag_dn,2025-09-26 06:00:00+09:00,2025-09-26 15:45:00+09:00
2025-09-26 06:59:12.701435+00:00,price_fetch_start,corr-1758869351292,,JPY=X,15m,60d,,
2025-09-26 06:59:13.184443+00:00,price_fetch_success,corr-1758869351292,yfinance_history,JPY=X,15m,60d,475,
2025-09-26 06:59:22.181393+00:00,pattern_draw,,,,,,,,flag_dn,2025-09-26 06:00:00+09:00,2025-09-26 15:45:00+09:00,40,86.1727975378291
2025-09-26 06:59:22.207398+00:00,pattern_vrect,,,,,,,,flag_dn,2025-09-26 06:00:00+09:00,2025-09-26 15:45:00+09:00
2025-09-26 07:03:06.095526+00:00,price_fetch_start,corr-1758869351292,,JPY=X,15m,60d,,
2025-09-26 07:03:06.700700+00:00,price_fetch_success,corr-1758869351292,yfinance_history,JPY=X,15m,60d,600,
2025-09-26 07:03:15.117378+00:00,pattern_draw,,,,,,,,flag_dn,2025-09-26 06:15:00+09:00,2025-09-26 16:00:00+09:00,40,83.05367999810295
2025-09-26 07:03:15.141730+00:00,pattern_vrect,,,,,,,,flag_dn,2025-09-26 06:15:00+09:00,2025-09-26 16:00:00+09:00
2025-09-26 07:07:44.424780+00:00,price_fetch_start,corr-1758869351292,,JPY=X,15m,60d,,
2025-09-26 07:07:45.519694+00:00,price_fetch_start,corr-1758869351292,,JPY=X,15m,60d,,
2025-09-26 07:07:45.906974+00:00,price_fetch_success,corr-1758869351292,yfinance_history,JPY=X,15m,60d,380,
2025-09-26 07:07:53.952675+00:00,pattern_draw,,,,,,,,flag_dn,2025-09-26 06:15:00+09:00,2025-09-26 16:00:00+09:00,40,82.95950549857716
2025-09-26 07:07:54.001481+00:00,pattern_vrect,,,,,,,,flag_dn,2025-09-26 06:15:00+09:00,2025-09-26 16:00:00+09:00
2025-09-26 07:10:53.676829+00:00,price_fetch_start,corr-1758869351292,,JPY=X,15m,60d,,
