ts,event,corr,source,symbol,interval,period,latency_ms,error
2025-10-13 00:03:42.723397+00:00,price_fetch_start,corr-1760312619487,,JPY=X,15m,60d,,
2025-10-13 00:03:43.257595+00:00,price_fetch_success,corr-1760312619487,yfinance_history,JPY=X,15m,60d,524,
2025-10-13 00:03:43.850767+00:00,price_fetch_success,corr-1760312619487,yfinance_download,JPY=X,15m,60d,587,
2025-10-13 00:03:51.837272+00:00,pattern_vrect,,,,,,,,double_top,2025-10-10 20:00:00+09:00,2025-10-10 23:00:00+09:00
2025-10-13 00:13:42.685672+00:00,price_fetch_start,corr-1760312619487,,JPY=X,15m,60d,,
2025-10-13 00:13:43.166678+00:00,price_fetch_success,corr-1760312619487,yfinance_history,JPY=X,15m,60d,477,
2025-10-13 00:13:43.676710+00:00,price_fetch_success,corr-1760312619487,yfinance_download,JPY=X,15m,60d,497,
2025-10-13 00:13:50.949116+00:00,pattern_vrect,,,,,,,,double_top,2025-10-10 20:00:00+09:00,2025-10-10 23:00:00+09:00
2025-10-13 00:23:32.680512+00:00,price_fetch_start,corr-1760312619487,,JPY=X,15m,60d,,
2025-10-13 00:23:33.704448+00:00,price_fetch_start,corr-1760312619487,,JPY=X,15m,60d,,
2025-10-13 00:23:34.202340+00:00,price_fetch_success,corr-1760312619487,yfinance_history,JPY=X,15m,60d,494,
2025-10-13 00:23:34.763487+00:00,price_fetch_success,corr-1760312619487,yfinance_download,JPY=X,15m,60d,558,
2025-10-13 00:23:43.445186+00:00,pattern_vrect,,,,,,,,double_top,2025-10-10 20:00:00+09:00,2025-10-10 23:00:00+09:00
2025-10-13 00:33:35.468052+00:00,price_fetch_start,corr-1760312619487,,JPY=X,15m,60d,,
2025-10-13 00:33:36.006178+00:00,price_fetch_success,corr-1760312619487,yfinance_history,JPY=X,15m,60d,533,
2025-10-13 00:33:36.524193+00:00,price_fetch_success,corr-1760312619487,yfinance_download,JPY=X,15m,60d,515,
2025-10-13 00:33:42.416747+00:00,pattern_vrect,,,,,,,,double_top,2025-10-10 20:00:00+09:00,2025-10-10 23:00:00+09:00
2025-10-13 00:43:34.615613+00:00,price_fetch_start,corr-1760312619487,,JPY=X,15m,60d,,
2025-10-13 00:43:35.100541+00:00,price_fetch_success,corr-1760312619487,yfinance_history,JPY=X,15m,60d,479,
2025-10-13 00:43:35.654469+00:00,price_fetch_success,corr-1760312619487,yfinance_download,JPY=X,15m,60d,549,
2025-10-13 00:43:44.160878+00:00,pattern_vrect,,,,,,,,double_top,2025-10-10 20:00:00+09:00,2025-10-10 23:00:00+09:00
2025-10-13 00:50:54.758082+00:00,price_fetch_start,corr-1760312619487,,JPY=X,15m,60d,,
2025-10-13 00:50:55.199867+00:00,price_fetch_success,corr-1760312619487,yfinance_history,JPY=X,15m,60d,437,
2025-10-13 00:50:55.880563+00:00,price_fetch_success,corr-1760312619487,yfinance_download,JPY=X,15m,60d,679,
2025-10-13 00:50:57.546831+00:00,price_fetch_start,corr-1760312619487,,JPY=X,15m,60d,,
2025-10-13 00:51:09.900735+00:00,pattern_vrect,,,,,,,,double_top,2025-10-10 20:00:00+09:00,2025-10-10 23:00:00+09:00
2025-10-13 01:00:58.738447+00:00,price_fetch_start,corr-1760312619487,,JPY=X,15m,60d,,
2025-10-13 01:00:59.276449+00:00,price_fetch_success,corr-1760312619487,yfinance_history,JPY=X,15m,60d,532,
2025-10-13 01:00:59.890891+00:00,price_fetch_success,corr-1760312619487,yfinance_download,JPY=X,15m,60d,611,
2025-10-13 01:01:08.470218+00:00,pattern_vrect,,,,,,,,double_top,2025-10-10 20:00:00+09:00,2025-10-10 23:00:00+09:00
2025-10-13 01:10:58.660711+00:00,price_fetch_start,corr-1760312619487,,JPY=X,15m,60d,,
2025-10-13 01:10:59.211481+00:00,price_fetch_success,corr-1760312619487,yfinance_history,JPY=X,15m,60d,540,
2025-10-13 01:10:59.815598+00:00,price_fetch_success,corr-1760312619487,yfinance_download,JPY=X,15m,60d,598,
2025-10-13 01:11:07.978676+00:00,pattern_vrect,,,,,,,,double_top,2025-10-10 20:00:00+09:00,2025-10-10 23:00:00+09:00
2025-10-13 01:20:58.652869+00:00,price_fetch_start,corr-1760312619487,,JPY=X,15m,60d,,
2025-10-13 01:20:59.209965+00:00,price_fetch_success,corr-1760312619487,yfinance_history,JPY=X,15m,60d,549,
2025-10-13 01:20:59.637258+00:00,price_fetch_success,corr-1760312619487,yfinance_download,JPY=X,15m,60d,424,
2025-10-13 01:21:08.698366+00:00,pattern_vrect,,,,,,,,double_top,2025-10-10 20:00:00+09:00,2025-10-10 23:00:00+09:00
2025-10-13 01:30:58.603822+00:00,price_fetch_start,corr-1760312619487,,JPY=X,15m,60d,,
2025-10-13 01:30:59.106185+00:00,price_fetch_success,corr-1760312619487,yfinance_history,JPY=X,15m,60d,498,
2025-10-13 01:30:59.570716+00:00,price_fetch_success,corr-1760312619487,yfinance_download,JPY=X,15m,60d,460,
2025-10-13 01:31:06.796402+00:00,pattern_vrect,,,,,,,,double_top,2025-10-10 20:00:00+09:00,2025-10-10 23:00:00+09:00
2025-10-13 01:40:58.521830+00:00,price_fetch_start,corr-1760312619487,,JPY=X,15m,60d,,
2025-10-13 01:40:58.966063+00:00,price_fetch_success,corr-1760312619487,yfinance_history,JPY=X,15m,60d,441,
2025-10-13 01:40:59.380606+00:00,price_fetch_success,corr-1760312619487,yfinance_download,JPY=X,15m,60d,412,
2025-10-13 01:41:07.089627+00:00,pattern_vrect,,,,,,,,double_top,2025-10-10 20:00:00+09:00,2025-10-10 23:00:00+09:00
2025-10-13 01:50:58.592007+00:00,price_fetch_start,corr-1760312619487,,JPY=X,15m,60d,,
2025-10-13 01:50:58.976319+00:00,price_fetch_success,corr-1760312619487,yfinance_history,JPY=X,15m,60d,376,
2025-10-13 01:50:59.493601+00:00,price_fetch_success,corr-1760312619487,yfinance_download,JPY=X,15m,60d,515,
2025-10-13 01:51:07.495970+00:00,pattern_vrect,,,,,,,,double_top,2025-10-10 20:00:00+09:00,2025-10-10 23:00:00+09:00
2025-10-13 02:00:58.619084+00:00,price_fetch_start,corr-1760312619487,,JPY=X,15m,60d,,
2025-10-13 02:00:59.066803+00:00,price_fetch_success,corr-1760312619487,yfinance_history,JPY=X,15m,60d,442,
2025-10-13 02:00:59.643564+00:00,price_fetch_success,corr-1760312619487,yfinance_download,JPY=X,15m,60d,574,
2025-10-13 02:01:09.551309+00:00,pattern_vrect,,,,,,,,double_top,2025-10-10 20:00:00+09:00,2025-10-10 23:00:00+09:00
2025-10-13 02:10:58.719013+00:00,price_fetch_start,corr-1760312619487,,JPY=X,15m,60d,,
2025-10-13 02:10:59.199010+00:00,price_fetch_success,corr-1760312619487,yfinance_history,JPY=X,15m,60d,470,
2025-10-13 02:10:59.717320+00:00,price_fetch_success,corr-1760312619487,yfinance_download,JPY=X,15m,60d,513,
2025-10-13 02:11:10.606007+00:00,pattern_vrect,,,,,,,,double_top,2025-10-10 20:00:00+09:00,2025-10-10 23:00:00+09:00
2025-10-13 02:20:58.533708+00:00,price_fetch_start,corr-1760312619487,,JPY=X,15m,60d,,
2025-10-13 02:20:58.998721+00:00,price_fetch_success,corr-1760312619487,yfinance_history,JPY=X,15m,60d,454,
2025-10-13 02:20:59.382487+00:00,price_fetch_success,corr-1760312619487,yfinance_download,JPY=X,15m,60d,381,
