ts,event,corr,source,symbol,interval,period,latency_ms,error
2025-09-25 14:18:37.094263+00:00,price_fetch_start,corr-1758809917094,,JPY=X,15m,60d,,
2025-09-25 14:18:39.823802+00:00,price_fetch_success,corr-1758809917094,yfinance_history,JPY=X,15m,60d,642,
2025-09-25 14:19:28.861414+00:00,price_fetch_start,corr-1758809917094,,JPY=X,15m,60d,,
2025-09-25 14:19:32.622644+00:00,price_fetch_start,corr-1758809917094,,JPY=X,15m,60d,,
2025-09-25 14:31:42.718051+00:00,price_fetch_start,corr-1758809917094,,JPY=X,15m,60d,,
2025-09-25 14:31:43.669556+00:00,price_fetch_start,corr-1758809917094,,JPY=X,15m,60d,,
2025-09-25 14:31:44.099227+00:00,price_fetch_success,corr-1758809917094,yfinance_history,JPY=X,15m,60d,420,
2025-09-25 15:02:26.097470+00:00,price_fetch_start,corr-1758809917094,,JPY=X,15m,60d,,
2025-09-25 15:02:26.560478+00:00,price_fetch_success,corr-1758809917094,yfinance_history,JPY=X,15m,60d,457,
2025-09-25 15:02:29.763088+00:00,price_fetch_start,corr-1758809917094,,JPY=X,15m,60d,,
2025-09-25 15:05:33.052596+00:00,price_fetch_start,corr-1758809917094,,JPY=X,15m,60d,,
2025-09-25 15:05:33.582135+00:00,price_fetch_success,corr-1758809917094,yfinance_history,JPY=X,15m,60d,525,
2025-09-25 15:05:38.937736+00:00,price_fetch_start,corr-1758809917094,,JPY=X,15m,60d,,
2025-09-25 15:07:33.013466+00:00,price_fetch_start,corr-1758809917094,,JPY=X,15m,60d,,
2025-09-25 15:07:33.942847+00:00,price_fetch_start,corr-1758809917094,,JPY=X,15m,60d,,
2025-09-25 15:07:34.313347+00:00,price_fetch_success,corr-1758809917094,yfinance_history,JPY=X,15m,60d,368,
2025-09-25 15:22:01.663723+00:00,price_fetch_start,corr-1758809917094,,JPY=X,15m,60d,,
2025-09-25 15:22:02.270822+00:00,price_fetch_start,corr-1758809917094,,JPY=X,15m,60d,,
2025-09-25 15:22:02.856165+00:00,price_fetch_success,corr-1758809917094,yfinance_history,JPY=X,15m,60d,569,
2025-09-25 16:05:01.815093+00:00,price_fetch_start,corr-1758809917094,,JPY=X,15m,60d,,
2025-09-25 16:05:02.500092+00:00,price_fetch_start,corr-1758809917094,,JPY=X,15m,60d,,
2025-09-25 16:05:03.403907+00:00,price_fetch_success,corr-1758809917094,yfinance_history,JPY=X,15m,60d,898,
2025-09-25 16:17:09.513183+00:00,price_fetch_start,corr-1758809917094,,JPY=X,15m,60d,,
2025-09-25 16:17:10.432960+00:00,price_fetch_start,corr-1758809917094,,JPY=X,15m,60d,,
2025-09-25 16:17:10.975000+00:00,price_fetch_success,corr-1758809917094,yfinance_history,JPY=X,15m,60d,536,
2025-09-25 16:50:01.906993+00:00,price_fetch_start,corr-1758809917094,,JPY=X,15m,60d,,
2025-09-25 16:50:02.755926+00:00,price_fetch_start,corr-1758809917094,,JPY=X,15m,60d,,
2025-09-25 16:50:03.259070+00:00,price_fetch_success,corr-1758809917094,yfinance_history,JPY=X,15m,60d,498,
2025-09-25 17:29:14.057274+00:00,price_fetch_start,corr-1758809917094,,JPY=X,15m,60d,,
2025-09-25 17:29:15.267456+00:00,price_fetch_start,corr-1758809917094,,JPY=X,15m,60d,,
2025-09-25 17:29:15.745564+00:00,price_fetch_success,corr-1758809917094,yfinance_history,JPY=X,15m,60d,466,
2025-09-25 17:42:49.974823+00:00,price_fetch_start,corr-1758809917094,,JPY=X,15m,60d,,
2025-09-25 17:42:50.867271+00:00,price_fetch_start,corr-1758809917094,,JPY=X,15m,60d,,
2025-09-25 17:42:51.369677+00:00,price_fetch_success,corr-1758809917094,yfinance_history,JPY=X,15m,60d,495,
