ts,event,corr,source,symbol,interval,period,latency_ms,error
2025-10-01 00:01:17.364841+00:00,price_fetch_start,corr-1759276628266,,JPY=X,15m,60d,,
2025-10-01 00:01:18.238040+00:00,price_fetch_success,corr-1759276628266,yfinance_history,JPY=X,15m,60d,862,
2025-10-01 00:01:26.933252+00:00,pattern_draw,,,,,,,,flag_dn,2025-09-30 20:00:00+09:00,2025-10-01 09:00:00+09:00,40,85.81912832575026
2025-10-01 00:01:26.954814+00:00,pattern_vrect,,,,,,,,flag_dn,2025-09-30 20:00:00+09:00,2025-10-01 09:00:00+09:00
2025-10-01 00:03:03.559579+00:00,price_fetch_start,corr-1759276628266,,JPY=X,15m,60d,,
2025-10-01 00:03:04.033680+00:00,price_fetch_success,corr-1759276628266,yfinance_history,JPY=X,15m,60d,467,
2025-10-01 00:03:12.019201+00:00,pattern_draw,,,,,,,,flag_dn,2025-09-30 20:00:00+09:00,2025-10-01 09:00:00+09:00,40,85.83961264949228
2025-10-01 00:03:12.040200+00:00,pattern_vrect,,,,,,,,flag_dn,2025-09-30 20:00:00+09:00,2025-10-01 09:00:00+09:00
2025-10-01 00:03:22.652970+00:00,price_fetch_start,corr-1759277002652,,JPY=X,15m,60d,,
2025-10-01 00:03:31.788771+00:00,pattern_draw,,,,,,,,flag_dn,2025-09-30 20:00:00+09:00,2025-10-01 09:00:00+09:00,40,85.83961264949228
2025-10-01 00:03:31.814780+00:00,pattern_vrect,,,,,,,,flag_dn,2025-09-30 20:00:00+09:00,2025-10-01 09:00:00+09:00
2025-10-01 00:03:44.383367+00:00,price_fetch_start,corr-1759277002652,,JPY=X,15m,60d,,
2025-10-01 00:03:53.507961+00:00,pattern_draw,,,,,,,,flag_dn,2025-09-30 20:00:00+09:00,2025-10-01 09:00:00+09:00,40,85.83961264949228
2025-10-01 00:03:53.542960+00:00,pattern_vrect,,,,,,,,flag_dn,2025-09-30 20:00:00+09:00,2025-10-01 09:00:00+09:00
2025-10-01 00:05:17.140905+00:00,price_fetch_start,corr-1759277002652,,JPY=X,15m,60d,,
2025-10-01 00:05:17.525941+00:00,price_fetch_success,corr-1759277002652,yfinance_history,JPY=X,15m,60d,379,
2025-10-01 00:05:26.868197+00:00,pattern_draw,,,,,,,,flag_dn,2025-09-30 20:00:00+09:00,2025-10-01 09:00:00+09:00,40,85.82655738766512
2025-10-01 00:05:26.897209+00:00,pattern_vrect,,,,,,,,flag_dn,2025-09-30 20:00:00+09:00,2025-10-01 09:00:00+09:00
2025-10-01 00:06:50.738845+00:00,price_fetch_start,corr-1759277210738,,JPY=X,15m,60d,,
2025-10-01 00:06:51.587960+00:00,price_fetch_success,corr-1759277210738,yfinance_history,JPY=X,15m,60d,845,
2025-10-01 00:06:55.099643+00:00,pattern_draw,,,,,,,,flag_dn,2025-09-30 20:00:00+09:00,2025-10-01 09:00:00+09:00,40,85.83779040365211
2025-10-01 00:06:55.115237+00:00,pattern_vrect,,,,,,,,flag_dn,2025-09-30 20:00:00+09:00,2025-10-01 09:00:00+09:00
2025-10-01 00:14:22.404698+00:00,price_fetch_start,corr-1759277662404,,JPY=X,15m,60d,,
2025-10-01 00:14:22.821223+00:00,price_fetch_success,corr-1759277662404,yfinance_history,JPY=X,15m,60d,412,
2025-10-01 00:14:24.135625+00:00,pattern_draw,,,,,,,,flag_dn,2025-09-30 20:00:00+09:00,2025-10-01 09:00:00+09:00,40,85.87162348044517
2025-10-01 00:14:24.143650+00:00,pattern_vrect,,,,,,,,flag_dn,2025-09-30 20:00:00+09:00,2025-10-01 09:00:00+09:00
2025-10-01 00:16:49.411296+00:00,price_fetch_start,corr-1759277662404,,JPY=X,15m,60d,,
2025-10-01 00:16:50.116963+00:00,price_fetch_success,corr-1759277662404,yfinance_history,JPY=X,15m,60d,703,
2025-10-01 00:16:51.537629+00:00,pattern_draw,,,,,,,,flag_dn,2025-09-30 20:15:00+09:00,2025-10-01 09:15:00+09:00,40,82.37517049261466
2025-10-01 00:16:51.547625+00:00,pattern_vrect,,,,,,,,flag_dn,2025-09-30 20:15:00+09:00,2025-10-01 09:15:00+09:00
