ts,event,corr,source,symbol,interval,period,latency_ms,error
2025-09-27 14:41:17.717825+00:00,price_fetch_start,corr-1758984077717,,JPY=X,15m,60d,,
2025-09-27 14:41:18.236301+00:00,price_fetch_success,corr-1758984077717,yfinance_history,JPY=X,15m,60d,512,
2025-09-27 14:41:18.807162+00:00,price_fetch_start,corr-1758984077717,,JPY=X,15m,60d,,
2025-09-27 14:41:23.641772+00:00,pattern_draw,,,,,,,,flag_dn,2025-09-26 20:00:00+09:00,2025-09-27 05:45:00+09:00,40,76.21788032071996
2025-09-27 14:41:23.656409+00:00,pattern_vrect,,,,,,,,flag_dn,2025-09-26 20:00:00+09:00,2025-09-27 05:45:00+09:00
