ts,event,corr,source,symbol,interval,period,latency_ms,error
2025-10-03 00:00:17.805061+00:00,price_fetch_start,corr-1759449549968,,JPY=X,15m,60d,,
2025-10-03 00:00:18.291883+00:00,price_fetch_success,corr-1759449549968,yfinance_history,JPY=X,15m,60d,480,
2025-10-03 00:02:30.169345+00:00,price_fetch_start,corr-1759449549968,,JPY=X,15m,60d,,
2025-10-03 00:02:30.659651+00:00,price_fetch_success,corr-1759449549968,yfinance_history,JPY=X,15m,60d,487,
2025-10-03 00:05:25.760366+00:00,price_fetch_start,corr-1759449549968,,JPY=X,15m,60d,,
2025-10-03 00:05:26.312873+00:00,price_fetch_success,corr-1759449549968,yfinance_history,JPY=X,15m,60d,547,
2025-10-03 00:07:55.609446+00:00,price_fetch_start,corr-1759449549968,,JPY=X,15m,60d,,
2025-10-03 00:07:56.091897+00:00,price_fetch_success,corr-1759449549968,yfinance_history,JPY=X,15m,60d,473,
2025-10-03 00:07:57.936523+00:00,price_fetch_start,corr-1759449549968,,JPY=X,15m,60d,,
2025-10-03 00:10:57.592217+00:00,price_fetch_start,corr-1759449549968,,JPY=X,15m,60d,,
2025-10-03 00:10:58.049898+00:00,price_fetch_success,corr-1759449549968,yfinance_history,JPY=X,15m,60d,455,
2025-10-03 00:12:08.855975+00:00,price_fetch_start,corr-1759449549968,,JPY=X,15m,60d,,
2025-10-03 00:12:09.374186+00:00,price_fetch_success,corr-1759449549968,yfinance_history,JPY=X,15m,60d,513,
2025-10-03 00:13:57.139170+00:00,price_fetch_start,corr-1759449549968,,JPY=X,15m,60d,,
2025-10-03 00:13:57.508529+00:00,price_fetch_success,corr-1759449549968,yfinance_history,JPY=X,15m,60d,364,
2025-10-03 00:16:55.751400+00:00,price_fetch_start,corr-1759449549968,,JPY=X,15m,60d,,
2025-10-03 00:16:56.245403+00:00,price_fetch_success,corr-1759449549968,yfinance_history,JPY=X,15m,60d,490,
2025-10-03 00:19:54.544536+00:00,price_fetch_start,corr-1759449549968,,JPY=X,15m,60d,,
2025-10-03 00:19:54.971399+00:00,price_fetch_success,corr-1759449549968,yfinance_history,JPY=X,15m,60d,422,
2025-10-03 00:54:54.314180+00:00,price_fetch_start,corr-1759449549968,,JPY=X,15m,60d,,
2025-10-03 00:54:54.824156+00:00,price_fetch_success,corr-1759449549968,yfinance_history,JPY=X,15m,60d,504,
2025-10-03 00:58:30.966613+00:00,price_fetch_start,corr-1759449549968,,JPY=X,15m,60d,,
2025-10-03 00:58:31.408605+00:00,price_fetch_success,corr-1759449549968,yfinance_history,JPY=X,15m,60d,438,
2025-10-03 00:58:41.506930+00:00,price_fetch_start,corr-1759449549968,,JPY=X,15m,60d,,
2025-10-03 01:04:11.637330+00:00,price_fetch_start,corr-1759449549968,,JPY=X,15m,60d,,
2025-10-03 01:04:12.061711+00:00,price_fetch_success,corr-1759449549968,yfinance_history,JPY=X,15m,60d,418,
2025-10-03 01:04:13.942466+00:00,pattern_draw,,,,,,,,flag_dn,2025-10-03 00:00:00+09:00,2025-10-03 10:00:00+09:00,40,74.78032624881358
2025-10-03 01:04:39.724216+00:00,price_fetch_start,corr-1759449549968,,JPY=X,15m,60d,,
2025-10-03 01:04:48.334633+00:00,pattern_draw,,,,,,,,flag_dn,2025-10-03 00:00:00+09:00,2025-10-03 10:00:00+09:00,40,74.78032624881358
2025-10-03 01:07:36.303510+00:00,price_fetch_start,corr-1759449549968,,JPY=X,15m,60d,,
2025-10-03 01:07:37.226054+00:00,price_fetch_start,corr-1759449549968,,JPY=X,15m,60d,,
2025-10-03 01:07:37.714320+00:00,price_fetch_success,corr-1759449549968,yfinance_history,JPY=X,15m,60d,480,
2025-10-03 01:07:40.026893+00:00,price_fetch_start,corr-1759449549968,,JPY=X,15m,60d,,
2025-10-03 01:07:52.422983+00:00,pattern_draw,,,,,,,,flag_dn,2025-10-03 00:00:00+09:00,2025-10-03 10:00:00+09:00,40,72.71480348730839
2025-10-03 01:10:59.018083+00:00,price_fetch_start,corr-1759449549968,,JPY=X,15m,60d,,
