ts,event,corr,source,symbol,interval,period,latency_ms,error
2025-09-22 13:15:22.389980+00:00,price_fetch_start,corr-1758545583762,,JPY=X,15m,60d,,
2025-09-22 13:15:22.889497+00:00,price_fetch_success,corr-1758545583762,yfinance_history,JPY=X,15m,60d,489,
2025-09-22 13:16:25.969828+00:00,price_fetch_start,corr-1758545583762,,JPY=X,15m,60d,,
2025-09-22 13:16:26.533726+00:00,price_fetch_success,corr-1758545583762,yfinance_history,JPY=X,15m,60d,559,
2025-09-22 13:21:26.744507+00:00,price_fetch_start,corr-1758545583762,,JPY=X,15m,60d,,
2025-09-22 13:21:27.403686+00:00,price_fetch_success,corr-1758545583762,yfinance_history,JPY=X,15m,60d,653,
2025-09-22 14:57:22.373004+00:00,price_fetch_start,corr-1758545583762,,JPY=X,15m,60d,,
2025-09-22 14:57:23.542450+00:00,price_fetch_start,corr-1758545583762,,JPY=X,15m,60d,,
2025-09-22 14:57:23.791977+00:00,price_fetch_success,corr-1758545583762,yfinance_history,JPY=X,15m,60d,242,
2025-09-22 23:58:02.621698+00:00,price_fetch_start,corr-1758585482620,,JPY=X,15m,60d,,
2025-09-22 23:58:02.977220+00:00,price_fetch_success,corr-1758585482620,yfinance_history,JPY=X,15m,60d,350,
2025-09-22 23:58:03.521217+00:00,price_fetch_start,corr-1758585482620,,JPY=X,15m,60d,,
