ts,event,corr,source,symbol,interval,period,latency_ms,error
2025-09-24 00:04:16.258865+00:00,price_fetch_start,corr-1758671936181,,JPY=X,15m,60d,,
2025-09-24 00:04:16.945715+00:00,price_fetch_success,corr-1758671936181,yfinance_history,JPY=X,15m,60d,677,
2025-09-24 00:04:43.734869+00:00,price_fetch_start,corr-1758671936181,,JPY=X,15m,60d,,
2025-09-24 00:12:52.993651+00:00,price_fetch_start,corr-1758671936181,,JPY=X,15m,60d,,
2025-09-24 00:12:53.875663+00:00,price_fetch_start,corr-1758671936181,,JPY=X,15m,60d,,
2025-09-24 00:12:54.376013+00:00,price_fetch_success,corr-1758671936181,yfinance_history,JPY=X,15m,60d,494,
2025-09-24 00:18:35.678046+00:00,price_fetch_start,corr-1758671936181,,JPY=X,15m,60d,,
2025-09-24 00:18:36.175583+00:00,price_fetch_start,corr-1758671936181,,JPY=X,15m,60d,,
2025-09-24 00:18:36.912165+00:00,price_fetch_success,corr-1758671936181,yfinance_history,JPY=X,15m,60d,477,
2025-09-24 00:22:08.166735+00:00,price_fetch_start,corr-1758671936181,,JPY=X,15m,60d,,
2025-09-24 00:22:09.001590+00:00,price_fetch_start,corr-1758671936181,,JPY=X,15m,60d,,
2025-09-24 00:22:09.405851+00:00,price_fetch_success,corr-1758671936181,yfinance_history,JPY=X,15m,60d,396,
2025-09-24 00:35:38.069214+00:00,price_fetch_start,corr-1758671936181,,JPY=X,15m,60d,,
2025-09-24 00:35:39.006974+00:00,price_fetch_start,corr-1758671936181,,JPY=X,15m,60d,,
2025-09-24 00:35:39.483563+00:00,price_fetch_success,corr-1758671936181,yfinance_history,JPY=X,15m,60d,471,
2025-09-24 01:02:20.825053+00:00,price_fetch_start,corr-1758671936181,,JPY=X,15m,60d,,
2025-09-24 01:02:21.828294+00:00,price_fetch_start,corr-1758671936181,,JPY=X,15m,60d,,
2025-09-24 01:02:22.309128+00:00,price_fetch_success,corr-1758671936181,yfinance_history,JPY=X,15m,60d,471,
2025-09-24 01:10:58.209130+00:00,price_fetch_start,corr-1758671936181,,JPY=X,15m,60d,,
2025-09-24 01:10:58.553483+00:00,price_fetch_success,corr-1758671936181,yfinance_history,JPY=X,15m,60d,338,
2025-09-24 01:27:42.725495+00:00,price_fetch_start,corr-1758671936181,,JPY=X,15m,60d,,
2025-09-24 01:27:43.281493+00:00,price_fetch_start,corr-1758671936181,,JPY=X,15m,60d,,
2025-09-24 01:27:44.033870+00:00,price_fetch_success,corr-1758671936181,yfinance_history,JPY=X,15m,60d,481,
2025-09-24 01:32:33.420774+00:00,price_fetch_start,corr-1758671936181,,JPY=X,15m,60d,,
2025-09-24 01:32:34.399404+00:00,price_fetch_start,corr-1758671936181,,JPY=X,15m,60d,,
2025-09-24 01:32:34.869469+00:00,price_fetch_success,corr-1758671936181,yfinance_history,JPY=X,15m,60d,457,
2025-09-24 01:32:41.828208+00:00,pattern_draw,,,,,,,,flag_up,2025-09-24 00:45:00+09:00,2025-09-24 10:30:00+09:00,40,72.0340365108718
2025-09-24 01:32:41.854224+00:00,pattern_vrect,,,,,,,,flag_up,2025-09-24 00:45:00+09:00,2025-09-24 10:30:00+09:00
2025-09-24 01:39:45.782764+00:00,price_fetch_start,corr-1758671936181,,JPY=X,15m,60d,,
2025-09-24 01:39:46.651163+00:00,price_fetch_start,corr-1758671936181,,JPY=X,15m,60d,,
