ts,event,corr,source,symbol,interval,period,latency_ms,error
2025-10-15 00:16:05.134554+00:00,price_fetch_start,corr-1760487365134,,JPY=X,15m,60d,,
2025-10-15 00:16:05.691074+00:00,price_fetch_success,corr-1760487365134,yfinance_history,JPY=X,15m,60d,540,
2025-10-15 00:16:06.188647+00:00,price_fetch_success,corr-1760487365134,yfinance_download,JPY=X,15m,60d,495,
2025-10-15 00:25:19.378267+00:00,price_fetch_start,corr-1760487365134,,JPY=X,15m,60d,,
2025-10-15 00:25:19.888566+00:00,price_fetch_success,corr-1760487365134,yfinance_history,JPY=X,15m,60d,501,
2025-10-15 00:25:20.141871+00:00,price_fetch_success,corr-1760487365134,yfinance_download,JPY=X,15m,60d,249,
2025-10-15 00:28:07.264239+00:00,price_fetch_start,corr-1760487365134,,JPY=X,15m,60d,,
2025-10-15 00:28:07.713241+00:00,price_fetch_success,corr-1760487365134,yfinance_history,JPY=X,15m,60d,445,
2025-10-15 00:28:08.197119+00:00,price_fetch_success,corr-1760487365134,yfinance_download,JPY=X,15m,60d,481,
2025-10-15 00:30:54.254987+00:00,price_fetch_start,corr-1760487365134,,JPY=X,15m,60d,,
2025-10-15 00:30:54.636987+00:00,price_fetch_success,corr-1760487365134,yfinance_history,JPY=X,15m,60d,377,
2025-10-15 00:30:55.138030+00:00,price_fetch_success,corr-1760487365134,yfinance_download,JPY=X,15m,60d,496,
2025-10-15 00:31:01.673318+00:00,pattern_draw,,,,,,,,flag_dn,2025-10-14 20:30:00+09:00,2025-10-15 09:30:00+09:00,40,72.40513736596881
2025-10-15 00:31:01.682319+00:00,pattern_vrect,,,,,,,,flag_dn,2025-10-14 20:30:00+09:00,2025-10-15 09:30:00+09:00
2025-10-15 00:33:44.366405+00:00,price_fetch_start,corr-1760487365134,,JPY=X,15m,60d,,
2025-10-15 00:33:44.841050+00:00,price_fetch_success,corr-1760487365134,yfinance_history,JPY=X,15m,60d,464,
2025-10-15 00:33:45.370850+00:00,price_fetch_success,corr-1760487365134,yfinance_download,JPY=X,15m,60d,524,
2025-10-15 00:37:39.348396+00:00,price_fetch_start,corr-1760487365134,,JPY=X,15m,60d,,
2025-10-15 00:37:39.743692+00:00,price_fetch_success,corr-1760487365134,yfinance_history,JPY=X,15m,60d,391,
2025-10-15 00:37:40.279137+00:00,price_fetch_success,corr-1760487365134,yfinance_download,JPY=X,15m,60d,532,
2025-10-15 00:40:26.290936+00:00,price_fetch_start,corr-1760487365134,,JPY=X,15m,60d,,
2025-10-15 00:40:26.807178+00:00,price_fetch_success,corr-1760487365134,yfinance_history,JPY=X,15m,60d,511,
2025-10-15 00:40:27.091910+00:00,price_fetch_success,corr-1760487365134,yfinance_download,JPY=X,15m,60d,282,
2025-10-15 00:43:11.735383+00:00,price_fetch_start,corr-1760487365134,,JPY=X,15m,60d,,
2025-10-15 00:43:12.346207+00:00,price_fetch_success,corr-1760487365134,yfinance_history,JPY=X,15m,60d,600,
2025-10-15 00:43:13.438946+00:00,price_fetch_start,corr-1760487365134,,JPY=X,15m,60d,,
2025-10-15 00:43:13.903265+00:00,price_fetch_success,corr-1760487365134,yfinance_history,JPY=X,15m,60d,461,
2025-10-15 00:43:14.449311+00:00,price_fetch_success,corr-1760487365134,yfinance_download,JPY=X,15m,60d,543,
2025-10-15 00:46:00.632589+00:00,price_fetch_start,corr-1760487365134,,JPY=X,15m,60d,,
2025-10-15 00:46:01.244441+00:00,price_fetch_success,corr-1760487365134,yfinance_history,JPY=X,15m,60d,604,
2025-10-15 00:46:01.902011+00:00,price_fetch_success,corr-1760487365134,yfinance_download,JPY=X,15m,60d,654,
2025-10-15 00:48:47.475375+00:00,price_fetch_start,corr-1760487365134,,JPY=X,15m,60d,,
2025-10-15 00:48:47.997390+00:00,price_fetch_success,corr-1760487365134,yfinance_history,JPY=X,15m,60d,513,
2025-10-15 00:48:48.541949+00:00,price_fetch_success,corr-1760487365134,yfinance_download,JPY=X,15m,60d,540,
2025-10-15 01:05:22.767021+00:00,price_fetch_start,corr-1760487365134,,JPY=X,15m,60d,,
2025-10-15 01:05:23.255073+00:00,price_fetch_success,corr-1760487365134,yfinance_history,JPY=X,15m,60d,483,
2025-10-15 01:05:23.518024+00:00,price_fetch_success,corr-1760487365134,yfinance_download,JPY=X,15m,60d,258,
2025-10-15 01:12:01.775167+00:00,price_fetch_start,corr-1760487365134,,JPY=X,15m,60d,,
2025-10-15 01:12:02.329166+00:00,price_fetch_success,corr-1760487365134,yfinance_history,JPY=X,15m,60d,546,
2025-10-15 01:12:02.844395+00:00,price_fetch_success,corr-1760487365134,yfinance_download,JPY=X,15m,60d,511,
2025-10-15 01:15:01.784486+00:00,price_fetch_start,corr-1760487365134,,JPY=X,15m,60d,,
2025-10-15 01:15:02.508475+00:00,price_fetch_success,corr-1760487365134,yfinance_history,JPY=X,15m,60d,716,
2025-10-15 01:15:02.744080+00:00,price_fetch_success,corr-1760487365134,yfinance_download,JPY=X,15m,60d,231,
2025-10-15 01:15:33.649151+00:00,price_fetch_start,corr-1760487365134,,JPY=X,15m,60d,,
2025-10-15 01:22:13.039306+00:00,price_fetch_start,corr-1760487365134,,JPY=X,15m,60d,,
2025-10-15 01:22:13.604305+00:00,price_fetch_success,corr-1760487365134,yfinance_history,JPY=X,15m,60d,548,
2025-10-15 01:22:14.131000+00:00,price_fetch_success,corr-1760487365134,yfinance_download,JPY=X,15m,60d,522,
2025-10-15 01:35:52.468692+00:00,price_fetch_start,corr-1760487365134,,JPY=X,15m,60d,,
2025-10-15 01:35:52.940699+00:00,price_fetch_success,corr-1760487365134,yfinance_history,JPY=X,15m,60d,465,
2025-10-15 01:35:53.442534+00:00,price_fetch_success,corr-1760487365134,yfinance_download,JPY=X,15m,60d,497,
2025-10-15 01:37:51.250838+00:00,price_fetch_start,corr-1760487365134,,JPY=X,15m,60d,,
2025-10-15 01:37:51.754729+00:00,price_fetch_success,corr-1760487365134,yfinance_history,JPY=X,15m,60d,496,
2025-10-15 01:37:51.986871+00:00,price_fetch_success,corr-1760487365134,yfinance_download,JPY=X,15m,60d,228,
2025-10-15 01:38:26.985597+00:00,price_fetch_start,corr-1760487365134,,JPY=X,15m,60d,,
2025-10-15 01:39:15.971336+00:00,price_fetch_start,corr-1760487365134,,JPY=X,15m,60d,,
2025-10-15 01:39:16.451352+00:00,price_fetch_success,corr-1760487365134,yfinance_history,JPY=X,15m,60d,472,
2025-10-15 01:39:16.937684+00:00,price_fetch_success,corr-1760487365134,yfinance_download,JPY=X,15m,60d,483,
2025-10-15 01:40:00.493694+00:00,price_fetch_start,corr-1760487365134,,JPY=X,15m,60d,,
2025-10-15 01:44:31.732671+00:00,price_fetch_start,corr-1760487365134,,JPY=X,15m,60d,,
2025-10-15 01:44:32.185555+00:00,price_fetch_success,corr-1760487365134,yfinance_history,JPY=X,15m,60d,445,
2025-10-15 01:44:32.442654+00:00,price_fetch_success,corr-1760487365134,yfinance_download,JPY=X,15m,60d,252,
2025-10-15 01:45:07.855759+00:00,price_fetch_start,corr-1760487365134,,JPY=X,15m,60d,,
2025-10-15 01:45:46.421687+00:00,price_fetch_start,corr-1760487365134,,JPY=X,15m,60d,,
2025-10-15 01:45:46.921688+00:00,price_fetch_success,corr-1760487365134,yfinance_history,JPY=X,15m,60d,493,
2025-10-15 01:45:47.165288+00:00,price_fetch_success,corr-1760487365134,yfinance_download,JPY=X,15m,60d,238,
2025-10-15 01:46:24.960971+00:00,price_fetch_start,corr-1760487365134,,JPY=X,15m,60d,,
2025-10-15 04:02:41.414421+00:00,price_fetch_start,corr-1760500961414,,JPY=X,15m,60d,,
2025-10-15 04:02:41.930580+00:00,price_fetch_success,corr-1760500961414,yfinance_history,JPY=X,15m,60d,503,
2025-10-15 04:02:42.447566+00:00,price_fetch_success,corr-1760500961414,yfinance_download,JPY=X,15m,60d,513,
2025-10-15 04:12:43.255513+00:00,price_fetch_start,corr-1760500961414,,JPY=X,15m,60d,,
2025-10-15 04:12:43.771903+00:00,price_fetch_success,corr-1760500961414,yfinance_history,JPY=X,15m,60d,514,
2025-10-15 04:12:44.235396+00:00,price_fetch_success,corr-1760500961414,yfinance_download,JPY=X,15m,60d,459,
2025-10-15 04:12:49.392379+00:00,price_fetch_start,corr-1760500961414,,JPY=X,15m,60d,,
2025-10-15 04:12:52.223038+00:00,price_fetch_start,corr-1760500961414,,JPY=X,15m,60d,,
2025-10-15 04:15:58.063305+00:00,price_fetch_start,corr-1760500961414,,JPY=X,15m,60d,,
2025-10-15 04:15:58.547843+00:00,price_fetch_success,corr-1760500961414,yfinance_history,JPY=X,15m,60d,480,
2025-10-15 04:15:58.865231+00:00,price_fetch_success,corr-1760500961414,yfinance_download,JPY=X,15m,60d,310,
2025-10-15 04:16:04.647821+00:00,pattern_draw,,,,,,,,flag_dn,2025-10-15 03:30:00+09:00,2025-10-15 13:15:00+09:00,40,73.70789330948439
2025-10-15 04:16:04.702721+00:00,pattern_vrect,,,,,,,,flag_dn,2025-10-15 03:30:00+09:00,2025-10-15 13:15:00+09:00
2025-10-15 04:19:04.217182+00:00,price_fetch_start,corr-1760500961414,,JPY=X,15m,60d,,
2025-10-15 04:19:04.810180+00:00,price_fetch_success,corr-1760500961414,yfinance_history,JPY=X,15m,60d,581,
2025-10-15 04:19:05.482662+00:00,price_fetch_success,corr-1760500961414,yfinance_download,JPY=X,15m,60d,667,
2025-10-15 04:19:14.440148+00:00,pattern_draw,,,,,,,,flag_dn,2025-10-15 03:30:00+09:00,2025-10-15 13:15:00+09:00,40,73.53729307388183
2025-10-15 04:19:14.463222+00:00,pattern_vrect,,,,,,,,flag_dn,2025-10-15 03:30:00+09:00,2025-10-15 13:15:00+09:00
2025-10-15 04:22:10.031069+00:00,price_fetch_start,corr-1760500961414,,JPY=X,15m,60d,,
