q,quality_threshold,n,EV_net,hit_rate
0.0,0.23428089540920327,5,0.5152472497497683,0.8
0.5,0.3723669015728989,3,0.9213953643814282,1.0
0.7,0.41925649831196843,2,0.9201338613295045,1.0
0.8,0.47196443146761125,1,0.9212022058092549,1.0
0.9,0.5539354994093619,1,0.9212022058092549,1.0
0.95,0.5949210333802373,1,0.9212022058092549,1.0
