q,quality_threshold,n,EV_net,hit_rate
0.0,0.0747569706531423,27,-0.064123160877446,0.5185185185185185
0.5,0.4091427810339517,14,-0.09857260276004566,0.5
0.7,0.5108620651121413,8,0.39451273284579774,0.75
0.8,0.5461638584236999,6,0.5604399544215203,0.8333333333333334
0.9,0.5884421400677877,3,0.9012979041708662,1.0
0.95,0.6125519525443909,2,0.9107174987689464,1.0
