session,n,hit_rate,ev_R,quality_p50
London,319,0.5611285266457681,0.03902304362744901,1.0
Tokyo,197,0.4213197969543147,-0.2337103924639172,1.0
Other,172,0.46511627906976744,-0.15447525559163341,1.0
NY,161,0.5093167701863354,-0.06059250787874872,1.0
