q,quality_threshold,n,EV_net,hit_rate
0.0,0.18426284503975654,89,-0.07777421433848751,0.4943820224719101
0.5,0.44507180624692555,45,-0.35458284196849094,0.35555555555555557
0.7,0.5101345008708308,27,-0.17846147187775527,0.4444444444444444
0.8,0.5395306025667652,18,-0.29051680942943364,0.3888888888888889
0.9,0.5840594778468805,9,-0.4024632912788642,0.3333333333333333
0.95,0.6670865050867927,5,-0.26693211022767593,0.4
