MCC,BA,F1_neg,F1_pos,Brier,minority_class,PR_AUC_pos,PR_AUC_neg,fold,pos_ratio_fold
0.0,0.9412280701754386,0.9697243560777226,0.0,0.0642005233681291,1,0.5,1.0,1,0.0
0.0,0.7944307944307945,0.8854404381560931,0.0,0.12188935011578807,1,0.5,1.0,2,0.0
-0.38931057395258917,0.3583916083916084,0.0,0.5639614855570839,0.5454582500254228,0,0.37403211560373206,0.2940793986940358,3,0.5478927203065134
0.0,0.9163732394366197,0.0,0.9563619660082683,0.12044406715719154,0,1.0,0.5,4,1.0
0.0,0.6773333333333333,0.0,0.8076311605723371,0.21686187798112272,0,0.9999999999999999,0.5,5,1.0
